Year,Month,Decimal Date,Carbon Dioxide (ppm),Seasonally Adjusted CO2 (ppm),Carbon Dioxide Fit (ppm),Seasonally Adjusted CO2 Fit (ppm)
1962,7,1962.537,319.61,318.91,319.17,318.5
1962,8,1962.6219,317.4,318.66,317.26,318.55
1962,9,1962.7068,316.25,319.14,315.68,318.6
1962,10,1962.789,315.42,318.43,315.64,318.64
1962,11,1962.874,316.69,318.59,316.8,318.68
1962,12,1962.9562,317.7,318.48,317.94,318.71
1963,1,1963.0411,318.74,318.72,318.79,318.76
1963,2,1963.126,319.07,318.46,319.43,318.8
1963,3,1963.2027,319.86,318.56,320.17,318.85
1963,4,1963.2877,321.39,319.04,321.27,318.9
1963,5,1963.3699,322.25,319.42,321.78,318.96
1963,6,1963.4548,321.48,319.33,321.13,319.01
1963,7,1963.537,319.74,319.04,319.72,319.05
1963,8,1963.6219,317.77,319.03,317.8,319.09
1963,9,1963.7068,316.21,319.12,316.21,319.13
1963,10,1963.789,315.99,319.01,316.17,319.18
1963,11,1963.874,317.06,318.97,317.34,319.22
1963,12,1963.9562,318.35,319.14,318.49,319.27
1964,1,1964.041,319.57,319.55,319.34,319.31
1964,5,1964.3716,322.26,319.42,322.32,319.49
1964,6,1964.4563,321.89,319.76,321.63,319.52
1964,7,1964.5383,320.44,319.76,320.2,319.55
1964,8,1964.623,318.69,319.99,318.25,319.58
1964,9,1964.7077,316.71,319.63,316.65,319.6
1964,10,1964.7896,316.87,319.9,316.6,319.62
1964,11,1964.8743,317.68,319.59,317.75,319.63
1964,12,1964.9563,318.71,319.5,318.88,319.65
1965,1,1965.0411,319.44,319.42,319.71,319.68
1965,2,1965.126,320.44,319.82,320.34,319.71
1965,3,1965.2027,320.89,319.58,321.08,319.76
1965,4,1965.2877,322.14,319.77,322.2,319.82
1965,5,1965.3699,322.16,319.32,322.74,319.9
1965,6,1965.4548,321.87,319.71,322.13,319.99
1965,7,1965.537,321.21,320.5,320.77,320.09
1965,8,1965.6219,318.87,320.14,318.9,320.2
1965,9,1965.7068,317.82,320.75,317.37,320.32
1965,10,1965.789,317.3,320.35,317.4,320.43
1965,11,1965.874,318.87,320.79,318.65,320.55
1965,12,1965.9562,319.42,320.21,319.88,320.66
1966,1,1966.0411,320.62,320.61,320.81,320.78
1966,2,1966.126,321.59,320.97,321.54,320.91
1966,3,1966.2027,322.39,321.07,322.34,321.01
1966,4,1966.2877,323.7,321.33,323.51,321.12
1966,5,1966.3699,324.08,321.22,324.08,321.23
1966,6,1966.4548,323.75,321.59,323.47,321.32
1966,7,1966.537,322.39,321.68,322.09,321.41
1966,8,1966.6219,320.36,321.64,320.17,321.48
1966,9,1966.7068,318.64,321.58,318.59,321.55
1966,10,1966.789,318.1,321.16,318.57,321.62
1966,11,1966.874,319.79,321.71,319.77,321.68
1966,12,1966.9562,321.03,321.82,320.96,321.74
1967,1,1967.0411,322.32,322.31,321.83,321.8
1967,2,1967.126,322.5,321.87,322.49,321.85
1967,3,1967.2027,323.04,321.72,323.24,321.9
1967,4,1967.2877,324.42,322.04,324.35,321.95
1967,5,1967.3699,325,322.13,324.87,322.01
1967,6,1967.4548,324.09,321.92,324.22,322.07
1967,7,1967.537,322.55,321.83,322.81,322.13
1967,8,1967.6219,320.92,322.2,320.88,322.2
1967,9,1967.7068,319.25,322.21,319.3,322.27
1967,10,1967.789,319.39,322.46,319.29,322.34
1967,11,1967.874,320.72,322.66,320.5,322.42
1967,12,1967.9562,321.96,322.76,321.71,322.49
1968,1,1968.041,322.57,322.55,322.6,322.57
1968,2,1968.1257,323.14,322.52,323.28,322.65
1968,3,1968.2049,323.89,322.54,324.09,322.73
1968,4,1968.2896,325.02,322.61,325.25,322.82
1968,5,1968.3716,325.57,322.69,325.79,322.92
1968,6,1968.4563,325.36,323.2,325.17,323.02
1968,7,1968.5383,324.14,323.45,323.79,323.13
1968,8,1968.623,322.11,323.42,321.9,323.25
1968,9,1968.7077,320.33,323.3,320.37,323.36
1968,10,1968.7896,320.25,323.32,320.42,323.48
1968,11,1968.8743,321.32,323.26,321.69,323.61
1968,12,1968.9563,322.89,323.7,322.95,323.74
1969,1,1969.0411,324,323.98,323.91,323.88
1969,2,1969.126,324.42,323.79,324.66,324.03
1969,3,1969.2027,325.63,324.31,325.5,324.16
1969,4,1969.2877,326.66,324.26,326.72,324.3
1969,5,1969.3699,327.38,324.49,327.33,324.44
1969,6,1969.4548,326.7,324.51,326.74,324.57
1969,7,1969.537,325.88,325.16,325.38,324.69
1969,8,1969.6219,323.66,324.95,323.48,324.8
1969,9,1969.7068,322.38,325.35,321.91,324.9
1969,10,1969.789,321.78,324.87,321.91,324.99
1969,11,1969.874,322.85,324.8,323.15,325.07
1969,12,1969.9562,324.12,324.92,324.36,325.15
1970,1,1970.0411,325.06,325.04,325.27,325.24
1970,2,1970.126,325.98,325.35,325.96,325.32
1970,3,1970.2027,326.93,325.59,326.74,325.39
1970,4,1970.2877,328.14,325.73,327.9,325.47
1970,5,1970.3699,328.08,325.18,328.45,325.55
1970,6,1970.4548,327.67,325.47,327.8,325.63
1970,7,1970.537,326.34,325.62,326.39,325.7
1970,8,1970.6219,324.69,325.98,324.44,325.77
1970,9,1970.7068,323.1,326.08,322.83,325.83
1970,10,1970.789,323.07,326.17,322.79,325.88
1970,11,1970.874,324.01,325.96,323.99,325.93
1970,12,1970.9562,325.13,325.94,325.17,325.97
1971,1,1971.0411,326.17,326.15,326.04,326.01
1971,2,1971.126,326.68,326.05,326.69,326.04
1971,3,1971.2027,327.17,325.83,327.44,326.08
1971,4,1971.2877,327.79,325.37,328.57,326.13
1971,5,1971.3699,328.92,326.01,329.1,326.19
1971,6,1971.4548,328.57,326.36,328.44,326.26
1971,7,1971.537,327.36,326.64,327.02,326.33
1971,8,1971.6219,325.43,326.73,325.06,326.4
1971,9,1971.7068,323.36,326.36,323.46,326.47
1971,10,1971.789,323.57,326.68,323.44,326.54
1971,11,1971.874,324.8,326.76,324.68,326.62
1971,12,1971.9562,326.01,326.83,325.9,326.69
1972,1,1972.041,326.77,326.75,326.81,326.78
1972,2,1972.1257,327.63,327,327.51,326.87
1972,3,1972.2049,327.75,326.38,328.35,326.97
1972,4,1972.2896,329.73,327.27,329.55,327.09
1972,5,1972.3716,330.07,327.15,330.13,327.22
1972,6,1972.4563,329.09,326.89,329.54,327.37
1972,7,1972.5383,328.04,327.35,328.19,327.53
1972,8,1972.623,326.32,327.65,326.34,327.71
1972,9,1972.7077,324.84,327.86,324.87,327.9
1972,10,1972.7896,325.2,328.32,324.99,328.09
1972,11,1972.8743,326.5,328.46,326.36,328.3
1972,12,1972.9563,327.55,328.37,327.71,328.5
1973,1,1973.0411,328.55,328.53,328.75,328.71
1973,2,1973.126,329.56,328.92,329.57,328.92
1973,3,1973.2027,330.3,328.95,330.47,329.11
1973,4,1973.2877,331.5,329.07,331.76,329.31
1973,5,1973.3699,332.48,329.55,332.41,329.48
1973,6,1973.4548,332.07,329.85,331.85,329.64
1973,7,1973.537,330.87,330.14,330.48,329.78
1973,8,1973.6219,329.31,330.62,328.54,329.89
1973,9,1973.7068,327.51,330.53,326.93,329.96
1973,10,1973.789,327.18,330.32,326.89,330.01
1973,11,1973.874,328.16,330.14,328.09,330.05
1973,12,1973.9562,328.64,329.46,329.26,330.07
1974,1,1974.0411,329.35,329.33,330.12,330.09
1974,2,1974.126,330.71,330.07,330.76,330.11
1974,3,1974.2027,331.48,330.13,331.51,330.14
1974,4,1974.2877,332.65,330.2,332.63,330.17
1974,5,1974.3699,333.09,330.14,333.15,330.21
1974,6,1974.4548,332.25,330.02,332.47,330.25
1974,7,1974.537,331.18,330.45,331,330.3
1974,8,1974.6219,329.39,330.71,329,330.35
1974,9,1974.7068,327.43,330.46,327.36,330.4
1974,10,1974.789,327.37,330.52,327.32,330.46
1974,11,1974.874,328.46,330.44,328.55,330.51
1974,12,1974.9562,329.57,330.39,329.77,330.58
1975,1,1975.0411,330.4,330.38,330.68,330.65
1975,2,1975.126,331.4,330.76,331.38,330.73
1975,3,1975.2027,332.04,330.68,332.19,330.81
1975,4,1975.2877,333.31,330.86,333.38,330.91
1975,5,1975.3699,333.97,331.02,333.95,331
1975,6,1975.4548,333.6,331.36,333.32,331.1
1975,7,1975.537,331.9,331.17,331.9,331.2
1975,8,1975.6219,330.06,331.38,329.94,331.29
1975,9,1975.7068,328.56,331.6,328.33,331.39
1975,10,1975.789,328.34,331.5,328.33,331.47
1975,11,1975.874,329.49,331.48,329.59,331.56
1975,12,1975.9562,330.76,331.59,330.83,331.64
1976,1,1976.041,331.75,331.73,331.75,331.72
1976,2,1976.1257,332.56,331.92,332.45,331.8
1976,3,1976.2049,333.5,332.11,333.28,331.87
1976,4,1976.2896,334.58,332.1,334.45,331.95
1976,5,1976.3716,334.88,331.92,334.98,332.02
1976,6,1976.4563,334.34,332.11,334.31,332.1
1976,7,1976.5383,333.05,332.34,332.87,332.19
1976,8,1976.623,330.94,332.29,330.89,332.28
1976,9,1976.7077,329.3,332.37,329.3,332.38
1976,10,1976.7896,328.94,332.1,329.34,332.49
1976,11,1976.8743,330.31,332.3,330.65,332.62
1976,12,1976.9563,331.68,332.51,331.95,332.76
1977,1,1977.0411,332.93,332.91,332.96,332.92
1977,2,1977.126,333.42,332.77,333.76,333.1
1977,3,1977.2027,334.7,333.33,334.65,333.26
1977,4,1977.2877,336.07,333.6,335.94,333.45
1977,5,1977.3699,336.75,333.77,336.61,333.63
1977,6,1977.4548,336.27,334.01,336.05,333.82
1977,7,1977.537,334.92,334.18,334.69,333.99
1977,8,1977.6219,332.75,334.08,332.79,334.15
1977,9,1977.7068,331.59,334.65,331.23,334.31
1977,10,1977.789,331.16,334.34,331.29,334.46
1977,11,1977.874,332.4,334.41,332.62,334.6
1977,12,1977.9562,333.85,334.68,333.92,334.74
1978,1,1978.0411,334.97,334.95,334.91,334.87
1978,2,1978.126,335.38,334.74,335.67,335.01
1978,3,1978.2027,336.64,335.27,336.52,335.13
1978,4,1978.2877,337.76,335.28,337.75,335.25
1978,5,1978.3699,338.01,335.03,338.35,335.37
1978,6,1978.4548,337.89,335.63,337.73,335.49
1978,7,1978.537,336.54,335.8,336.31,335.59
1978,8,1978.6219,334.68,336.02,334.33,335.7
1978,9,1978.7068,332.76,335.83,332.7,335.79
1978,10,1978.789,332.55,335.74,332.71,335.89
1978,11,1978.874,333.92,335.93,333.99,335.98
1978,12,1978.9562,334.95,335.78,335.26,336.08
1979,1,1979.0411,336.23,336.21,336.22,336.19
1979,2,1979.126,336.76,336.11,336.96,336.3
1979,3,1979.2027,337.96,336.58,337.8,336.41
1979,4,1979.2877,338.89,336.4,339.04,336.53
1979,5,1979.3699,339.47,336.48,339.65,336.66
1979,6,1979.4548,339.29,337.02,339.05,336.8
1979,7,1979.537,337.73,336.99,337.64,336.93
1979,8,1979.6219,336.08,337.43,335.69,337.07
1979,9,1979.7068,333.92,337,334.11,337.21
1979,10,1979.789,333.86,337.07,334.17,337.36
1979,11,1979.874,335.29,337.31,335.52,337.52
1979,12,1979.9562,336.73,337.57,336.86,337.68
1980,1,1980.041,338.01,338,337.88,337.85
1980,2,1980.1257,338.36,337.71,338.68,338.01
1980,3,1980.2049,340.07,338.67,339.6,338.17
1980,4,1980.2896,340.77,338.25,340.87,338.33
1980,5,1980.3716,341.47,338.46,341.48,338.48
1980,6,1980.4563,341.17,338.91,340.87,338.63
1980,7,1980.5383,339.56,338.84,339.45,338.76
1980,8,1980.623,337.6,338.97,337.49,338.9
1980,9,1980.7077,335.88,338.99,335.9,339.02
1980,10,1980.7896,336.02,339.23,335.93,339.13
1980,11,1980.8743,337.1,339.12,337.24,339.24
1980,12,1980.9563,338.21,339.05,338.52,339.34
1981,1,1981.0411,339.24,339.22,339.47,339.44
1981,2,1981.126,340.48,339.82,340.21,339.54
1981,3,1981.2027,341.38,339.99,341.04,339.63
1981,4,1981.2877,342.51,340,342.24,339.72
1981,5,1981.3699,342.91,339.89,342.82,339.8
1981,6,1981.4548,342.25,339.96,342.15,339.89
1981,7,1981.537,340.49,339.74,340.69,339.97
1981,8,1981.6219,338.43,339.78,338.67,340.06
1981,9,1981.7068,336.69,339.8,337.03,340.16
1981,10,1981.789,336.86,340.08,337.04,340.26
1981,11,1981.874,338.36,340.4,338.36,340.37
1981,12,1981.9562,339.61,340.45,339.66,340.48
1982,1,1982.0411,340.75,340.73,340.63,340.59
1982,2,1982.126,341.61,340.95,341.37,340.7
1982,3,1982.2027,342.7,341.31,342.2,340.79
1982,4,1982.2877,343.57,341.05,343.41,340.88
1982,5,1982.3699,344.14,341.11,343.99,340.96
1982,6,1982.4548,343.35,341.05,343.31,341.04
1982,7,1982.537,342.06,341.31,341.83,341.11
1982,8,1982.6219,339.81,341.17,339.8,341.19
1982,9,1982.7068,337.98,341.1,338.14,341.27
1982,10,1982.789,337.86,341.1,338.14,341.37
1982,11,1982.874,339.26,341.31,339.46,341.48
1982,12,1982.9562,340.49,341.33,340.78,341.61
1983,1,1983.0411,341.38,341.36,341.8,341.77
1983,2,1983.126,342.52,341.86,342.61,341.94
1983,3,1983.2027,343.1,341.7,343.52,342.11
1983,4,1983.2877,344.94,342.42,344.84,342.3
1983,5,1983.3699,345.76,342.72,345.53,342.49
1983,6,1983.4548,345.32,343.01,344.97,342.69
1983,7,1983.537,343.98,343.23,343.59,342.86
1983,8,1983.6219,342.38,343.74,341.64,343.03
1983,9,1983.7068,339.87,342.99,340.05,343.19
1983,10,1983.789,339.99,343.24,340.1,343.34
1983,11,1983.874,341.15,343.2,341.46,343.49
1983,12,1983.9562,342.99,343.84,342.79,343.62
1984,1,1984.041,343.7,343.68,343.79,343.76
1984,2,1984.1257,344.5,343.84,344.56,343.89
1984,3,1984.2049,345.28,343.85,345.46,344.01
1984,4,1984.2896,347.07,344.51,346.72,344.14
1984,5,1984.3716,347.43,344.38,347.31,344.26
1984,6,1984.4563,346.8,344.5,346.65,344.38
1984,7,1984.5383,345.39,344.67,345.2,344.5
1984,8,1984.623,343.28,344.67,343.19,344.62
1984,9,1984.7077,341.07,344.22,341.57,344.74
1984,10,1984.7896,341.35,344.6,341.61,344.86
1984,11,1984.8743,342.98,345.03,342.96,344.99
1984,12,1984.9563,344.22,345.07,344.28,345.12
1985,1,1985.0411,344.97,344.95,345.28,345.25
1985,2,1985.126,345.99,345.33,346.06,345.39
1985,3,1985.2027,347.43,346.02,346.93,345.5
1985,4,1985.2877,348.35,345.8,348.18,345.62
1985,5,1985.3699,348.93,345.87,348.79,345.73
1985,6,1985.4548,348.25,345.93,348.13,345.83
1985,7,1985.537,346.56,345.8,346.65,345.92
1985,8,1985.6219,344.68,346.04,344.61,346.01
1985,9,1985.7068,343.09,346.24,342.93,346.1
1985,10,1985.789,342.8,346.07,342.93,346.19
1985,11,1985.874,344.24,346.3,344.24,346.28
1985,12,1985.9562,345.56,346.41,345.53,346.37
1986,1,1986.0411,346.3,346.27,346.5,346.47
1986,2,1986.126,346.95,346.29,347.25,346.58
1986,3,1986.2027,347.85,346.44,348.11,346.68
1986,4,1986.2877,349.55,347,349.37,346.81
1986,5,1986.3699,350.21,347.14,350,346.93
1986,6,1986.4548,349.55,347.22,349.37,347.06
1986,7,1986.537,347.94,347.18,347.91,347.18
1986,8,1986.6219,345.9,347.27,345.9,347.31
1986,9,1986.7068,344.85,348.01,344.26,347.44
1986,10,1986.789,344.17,347.45,344.29,347.56
1986,11,1986.874,345.66,347.73,345.64,347.69
1986,12,1986.9562,346.9,347.76,346.98,347.82
1987,1,1987.0411,348.02,348,348,347.97
1987,2,1987.126,348.47,347.8,348.81,348.13
1987,3,1987.2027,349.41,348,349.71,348.28
1987,4,1987.2877,350.99,348.43,351.04,348.46
1987,5,1987.3699,351.85,348.76,351.73,348.65
1987,6,1987.4548,351.26,348.92,351.17,348.85
1987,7,1987.537,349.51,348.75,349.79,349.05
1987,8,1987.6219,348.1,349.48,347.86,349.27
1987,9,1987.7068,346.45,349.62,346.31,349.49
1987,10,1987.789,346.36,349.66,346.43,349.71
1987,11,1987.874,347.81,349.89,347.88,349.94
1987,12,1987.9562,348.96,349.82,349.32,350.16
1988,1,1988.041,350.43,350.41,350.42,350.39
1988,2,1988.1257,351.73,351.06,351.29,350.61
1988,3,1988.2049,352.22,350.77,352.28,350.81
1988,4,1988.2896,353.59,351,353.63,351.02
1988,5,1988.3716,354.22,351.13,354.3,351.21
1988,6,1988.4563,353.79,351.47,353.7,351.4
1988,7,1988.5383,352.38,351.64,352.28,351.57
1988,8,1988.623,350.43,351.84,350.29,351.74
1988,9,1988.7077,348.73,351.92,348.68,351.89
1988,10,1988.7896,348.88,352.19,348.74,352.03
1988,11,1988.8743,350.07,352.15,350.1,352.16
1988,12,1988.9563,351.34,352.2,351.43,352.28
1989,1,1989.0411,352.76,352.74,352.42,352.39
1989,2,1989.126,353.07,352.39,353.18,352.5
1989,3,1989.2027,353.68,352.25,354.03,352.59
1989,4,1989.2877,355.42,352.84,355.28,352.69
1989,5,1989.3699,355.67,352.57,355.89,352.78
1989,6,1989.4548,355.12,352.77,355.22,352.88
1989,7,1989.537,353.9,353.13,353.72,352.98
1989,8,1989.6219,351.67,353.06,351.65,353.08
1989,9,1989.7068,349.8,353,349.96,353.18
1989,10,1989.789,349.99,353.31,349.97,353.27
1989,11,1989.874,351.29,353.39,351.3,353.37
1989,12,1989.9562,352.52,353.39,352.62,353.47
1990,1,1990.0411,353.66,353.64,353.61,353.57
1990,2,1990.126,354.7,354.02,354.36,353.68
1990,3,1990.2027,355.38,353.95,355.22,353.77
1990,4,1990.2877,356.2,353.62,356.47,353.87
1990,5,1990.3699,357.16,354.05,357.08,353.97
1990,6,1990.4548,356.23,353.87,356.42,354.08
1990,7,1990.537,354.81,354.04,354.95,354.2
1990,8,1990.6219,352.91,354.3,352.91,354.34
1990,9,1990.7068,350.96,354.17,351.26,354.48
1990,10,1990.789,351.18,354.51,351.31,354.62
1990,11,1990.874,352.83,354.93,352.7,354.78
1990,12,1990.9562,354.21,355.08,354.07,354.92
1991,1,1991.0411,354.72,354.7,355.11,355.07
1991,2,1991.126,355.75,355.07,355.91,355.22
1991,3,1991.2027,357.16,355.72,356.79,355.34
1991,4,1991.2877,358.6,356,358.06,355.45
1991,5,1991.3699,359.34,356.21,358.66,355.54
1991,6,1991.4548,358.24,355.87,357.97,355.62
1991,7,1991.537,356.17,355.4,356.43,355.68
1991,8,1991.6219,354.02,355.41,354.3,355.74
1991,9,1991.7068,352.15,355.37,352.56,355.79
1991,10,1991.789,352.21,355.55,352.53,355.85
1991,11,1991.874,353.75,355.85,353.84,355.92
1991,12,1991.9562,354.99,355.86,355.13,355.99
1992,1,1992.041,355.99,355.96,356.09,356.06
1992,2,1992.1257,356.72,356.04,356.82,356.13
1992,3,1992.2049,357.81,356.34,357.68,356.2
1992,4,1992.2896,359.15,356.52,358.91,356.26
1992,5,1992.3716,359.66,356.53,359.44,356.31
1992,6,1992.4563,359.25,356.9,358.69,356.36
1992,7,1992.5383,357.02,356.27,357.11,356.39
1992,8,1992.623,355,356.43,354.96,356.43
1992,9,1992.7077,353.01,356.25,353.2,356.46
1992,10,1992.7896,353.31,356.65,353.15,356.49
1992,11,1992.8743,354.16,356.27,354.44,356.52
1992,12,1992.9563,355.4,356.27,355.71,356.57
1993,1,1993.0411,356.7,356.68,356.65,356.62
1993,2,1993.126,357.16,356.48,357.37,356.68
1993,3,1993.2027,358.38,356.93,358.2,356.74
1993,4,1993.2877,359.46,356.85,359.44,356.81
1993,5,1993.3699,360.28,357.13,360.04,356.89
1993,6,1993.4548,359.6,357.21,359.35,356.98
1993,7,1993.537,357.57,356.79,357.83,357.08
1993,8,1993.6219,355.52,356.93,355.75,357.19
